"interage_com_nome","ESTROFEM"
"interage_com_farmaco","estradiol"
"interage_com_farmaco","fenobarbital"
"interage_com_farmaco","fenitoína"
"interage_com_farmaco","carbamazepina"
"interage_com_farmaco","rifampicina"
"interage_com_farmaco","nevirapina"
"interage_com_farmaco","efavirenz"
"interage_com_farmaco","ritonavir"
"interage_com_farmaco","fenobarbital"
"interage_com_farmaco","fenitoína"
"interage_com_farmaco","carbamazepina"
"interage_com_farmaco","rifampicina"
"interage_com_farmaco","nevirapina"
"interage_com_farmaco","efavirenz"
"interage_com_farmaco","Ritonavir"
"indicacao_para_doenca","osteoporose"
"indicacao_para_doenca","osteoporose"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","porfiria"
"contra_indicado_para_doenca","porfiria"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","hipersensibilidade"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","câncer de mama"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","hiperplasia"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","trombose venosa profunda"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","embolia pulmonar"
"contra_indicado_para_doenca","porfiria"
"contra_indicado_para_doenca","porfiria"
