"interage_com_nome","QUADRIDERM"
"interage_com_farmaco","clioquinol"
"interage_com_farmaco","clioquinol"
"indicacao_para_doenca","dermatite"
"indicacao_para_doenca","herpes"
"indicacao_para_doenca","dermatite"
"indicacao_para_doenca","dermatite"
"indicacao_para_doenca","alergia"
"indicacao_para_doenca","dermatite"
"indicacao_para_doenca","alergia"
"indicacao_para_doenca","disidrose"
"indicacao_para_doenca","prurido anal"
"indicacao_para_sintoma","prurido anal"
"indicacao_para_doenca","eczema"
"indicacao_para_doenca","dermatite"
"indicacao_para_doenca","acne"
"indicacao_para_doenca","impetigo"
"indicacao_para_doenca","estomatite"
"indicacao_para_sintoma","estomatite"
"indicacao_para_doenca","dermatite"
"indicacao_para_doenca","alergia"
"indicacao_para_doenca","dermatofitose"
"indicacao_para_doenca","micose"
"indicacao_para_doenca","micose"
"indicacao_para_doenca","micose"
"contra_indicado_para_doenca","alergia"
"contra_indicado_para_doenca","alergia"
"provoca_reacao_doenca","foliculite"
"provoca_reacao_doenca","hipertricose"
"provoca_reacao_doenca","dermatite"
"provoca_reacao_doenca","dermatite"
"provoca_reacao_doenca","alergia"
"provoca_reacao_doenca","atrofia"
