"interacao","nifedipino"
"interacao","nifedipino"
"interacao","nifedipino"
"interacao","cimetidina"
"interacao","cimetidina"
"interacao","fluconazol"
"interacao","digoxina"
"interacao","digoxina"
"interacao","digoxina"
"interacao","digoxina"
"interacao","nifedipino"
"interacao","digoxina"
"interacao","digoxina"
"interacao","nifedipino"
"indicacao","angina"
"indicacao","angina"
"contraIndicacao","alergia"
"contraIndicacao","infarto agudo do miocárdio"
"contraIndicacao","estenose aórtica"
"contraIndicacao","angina"
"contraIndicacao","angina"
"contraIndicacao","hipotensão"
"contraIndicacao","hipertensão arterial"
"contraIndicacao","hipertensão arterial"
"contraIndicacao","hipertensão arterial"
"contraIndicacao","hipertensão arterial"
"contraIndicacao","hipersensibilidade"
"contraIndicacao","infarto agudo do miocárdio"
"contraIndicacao","estenose aórtica"
"contraIndicacao","angina"
"contraIndicacao","angina"
"contraIndicacao","hipotensão"
"reacao","prurido"
"reacao","prurido"
"reacao","urticária"
"reacao","dermatite"
"reacao","parestesia"
"reacao","parestesia"
"reacao","hipotensão"
"reacao","ginecomastia"
"reacao","hiperplasia"
"reacao","colestase"
"reacao","mialgia"
"reacao","mialgia"
"reacao","tremor"
"reacao","tontura"
"reacao","vertigem"
"reacao","náusea"
"reacao","hipotensão"
"reacao","palpitação"
"reacao","flatulência"
"reacao","dermatite"
"reacao","prurido"
"reacao","prurido"
"reacao","urticária"
"reacao","febre"
"reacao","trombocitopenia"
"reacao","anemia"
"reacao","leucopenia"
"reacao","hepatite"
"reacao","hiperplasia"
"reacao","depressão"
"reacao","cegueira"
"reacao","noctúria"
"reacao","noctúria"
"reacao","poliúria"
"reacao","artrite"
"reacao","dermatite"
"reacao","ginecomastia"
"reacao","mialgia"
"reacao","mialgia"
